dataset,fastme,mh,gap,time_min,K,lifted_tri,weak_bun,contraction,iterated
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,5,30,true,false,true,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,15,30,true,false,true,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,60,30,true,false,true,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,5,10,true,false,true,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,15,10,true,false,true,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,60,10,true,false,true,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,5,20,true,false,true,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,15,20,true,false,true,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,60,20,true,false,true,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,5,15,true,false,true,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,15,15,true,false,true,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,60,15,true,false,true,false
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,5,10,true,false,true,false
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,15,10,true,false,true,false
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,60,10,true,false,true,false
08-Rana64.txt,0.23970439597240425,0.23970439597240425,0.0,5,20,true,false,true,false
08-Rana64.txt,0.23970439597240425,0.23970439597240425,0.0,15,20,true,false,true,false
08-Rana64.txt,0.23970439597240425,0.23970439597240425,0.0,60,20,true,false,true,false
08-Rana64.txt,0.23970439597240425,0.23970439597240425,0.0,5,30,true,false,true,false
08-Rana64.txt,0.23970439597240425,0.23970439597240425,0.0,15,30,true,false,true,false
08-Rana64.txt,0.23970439597240425,0.23970439597240425,0.0,60,30,true,false,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,5,10,true,false,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,15,10,true,false,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,60,10,true,false,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,5,20,true,false,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,15,20,true,false,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,60,20,true,false,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,5,30,true,false,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,15,30,true,false,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,60,30,true,false,true,false
01-Primates12.txt,0.19594466640625002,0.19594466640625002,0.0,5,5,true,true,true,false
